source,target,edge_type,weight,category,max_entropy,co_count
sample::0,api::OpenFile,HAS_IMPORT,1.0,open,,
sample::0,api::WriteProcessMemory,HAS_IMPORT,1.0,call,,
sample::0,api::GetProcAddress,HAS_IMPORT,1.0,call,,
sample::0,api::LoadLibrary,HAS_IMPORT,1.0,call,,
sample::0,api::RegDeleteKey,HAS_IMPORT,1.0,delete,,
sample::0,api::Sleep,HAS_IMPORT,1.0,other,,
sample::0,sec::normal,HAS_SECTION,,,0.0,
api::OpenFile,api::OpenMutex,SHARES_API,,,,6.0
api::OpenFile,api::KillTimer,SHARES_API,,,,2.0
api::OpenFile,api::OpenProcess,SHARES_API,,,,4.0
api::OpenFile,api::WriteProcessMemory,SHARES_API,,,,5.0
api::OpenFile,api::LoadLibrary,SHARES_API,,,,2.0
api::OpenFile,api::CloseSocket,SHARES_API,,,,4.0
api::OpenFile,api::GetSystemInfo,SHARES_API,,,,6.0
api::OpenFile,api::VirtualAlloc,SHARES_API,,,,2.0
api::OpenFile,api::GetProcAddress,SHARES_API,,,,4.0
api::OpenFile,api::GetTickCount,SHARES_API,,,,2.0
api::OpenFile,api::CreateThread,SHARES_API,,,,3.0
api::OpenFile,api::CreateProcess,SHARES_API,,,,2.0
api::OpenFile,api::CreateMutex,SHARES_API,,,,2.0
api::OpenFile,api::Sleep,SHARES_API,,,,2.0
api::OpenFile,api::DeleteFile,SHARES_API,,,,2.0
api::OpenFile,api::OpenRegistry,SHARES_API,,,,2.0
api::WriteProcessMemory,api::GetTickCount,SHARES_API,,,,4.0
api::WriteProcessMemory,api::OpenMutex,SHARES_API,,,,9.0
api::WriteProcessMemory,api::GetSystemInfo,SHARES_API,,,,5.0
api::WriteProcessMemory,api::VirtualAlloc,SHARES_API,,,,4.0
api::WriteProcessMemory,api::CreateMutex,SHARES_API,,,,5.0
api::WriteProcessMemory,api::RegDeleteKey,SHARES_API,,,,4.0
api::WriteProcessMemory,api::CreateThread,SHARES_API,,,,6.0
api::WriteProcessMemory,api::GetProcAddress,SHARES_API,,,,8.0
api::WriteProcessMemory,api::CreateProcess,SHARES_API,,,,5.0
api::WriteProcessMemory,api::OpenRegistry,SHARES_API,,,,7.0
api::WriteProcessMemory,api::OpenFile,SHARES_API,,,,5.0
api::WriteProcessMemory,api::KillTimer,SHARES_API,,,,2.0
api::WriteProcessMemory,api::OpenProcess,SHARES_API,,,,6.0
api::WriteProcessMemory,api::LoadLibrary,SHARES_API,,,,4.0
api::WriteProcessMemory,api::CloseHandle,SHARES_API,,,,4.0
api::WriteProcessMemory,api::Sleep,SHARES_API,,,,4.0
api::WriteProcessMemory,api::CreateFile,SHARES_API,,,,4.0
