node_id,node_type,label,color,f_Machine_0,f_SizeOfOptionalHeader_0,f_Characteristics_0,section_nb,section_profile,mean_entropy,max_entropy,category,direction,profile
sample::0,SAMPLE,S0,#FF4757,332.0,224.0,55745.0,6.0,normal,5.309360141291611,0.0,,,
api::OpenFile,API_CALL,OpenFile,#2ED573,,,,,,,,open,import,
api::WriteProcessMemory,API_CALL,WriteProcessMemory,#2ED573,,,,,,,,call,import,
api::GetProcAddress,API_CALL,GetProcAddress,#2ED573,,,,,,,,call,import,
api::LoadLibrary,API_CALL,LoadLibrary,#2ED573,,,,,,,,call,import,
api::RegDeleteKey,API_CALL,RegDeleteKey,#2ED573,,,,,,,,delete,import,
api::Sleep,API_CALL,Sleep,#2ED573,,,,,,,,other,import,
sec::normal,SECTION,NORMAL,#1E90FF,,,,,,,,,,normal
sample::1,SAMPLE,S1,#FF4757,332.0,224.0,61279.0,4.0,normal,4.5082155005104445,0.0,,,
api::OpenMutex,API_CALL,OpenMutex,#2ED573,,,,,,,,open,import,
api::OpenProcess,API_CALL,OpenProcess,#2ED573,,,,,,,,open,import,
api::CloseSocket,API_CALL,CloseSocket,#2ED573,,,,,,,,close,import,
api::VirtualAlloc,API_CALL,VirtualAlloc,#2ED573,,,,,,,,call,import,
api::GetSystemInfo,API_CALL,GetSystemInfo,#2ED573,,,,,,,,other,import,
sample::2,SAMPLE,S2,#FF4757,332.0,224.0,350.0,3.0,normal,6.511873244080891,0.0,,,
api::OpenRegistry,API_CALL,OpenRegistry,#2ED573,,,,,,,,open,import,
api::CloseHandle,API_CALL,CloseHandle,#2ED573,,,,,,,,close,import,
api::CreateMutex,API_CALL,CreateMutex,#2ED573,,,,,,,,create,import,
api::KillTimer,API_CALL,KillTimer,#2ED573,,,,,,,,kill,import,
api::GetTickCount,API_CALL,GetTickCount,#2ED573,,,,,,,,other,import,
sample::3,SAMPLE,S3,#FF4757,332.0,224.0,57353.0,3.0,normal,6.664465020582245,0.0,,,
api::DeleteFile,API_CALL,DeleteFile,#2ED573,,,,,,,,delete,import,
sample::4,SAMPLE,S4,#FF4757,332.0,224.0,47153.0,5.0,normal,5.5137336765214,0.0,,,
sample::5,SAMPLE,S5,#FF4757,332.0,224.0,57440.0,3.0,normal,5.508351181636981,0.0,,,
api::CreateThread,API_CALL,CreateThread,#2ED573,,,,,,,,create,import,
api::CreateFile,API_CALL,CreateFile,#2ED573,,,,,,,,create,import,
api::TerminateProcess,API_CALL,TerminateProcess,#2ED573,,,,,,,,kill,import,
sample::6,SAMPLE,S6,#FF4757,332.0,224.0,58912.0,4.0,normal,6.515984633869078,0.0,,,
api::CreateProcess,API_CALL,CreateProcess,#2ED573,,,,,,,,create,import,
sample::7,SAMPLE,S7,#FF4757,332.0,224.0,27867.0,7.0,normal,7.485289515705972,0.0,,,
sample::8,SAMPLE,S8,#FF4757,332.0,224.0,47776.0,7.0,normal,7.403778569773939,0.0,,,
sample::9,SAMPLE,S9,#FF4757,332.0,224.0,35319.0,6.0,normal,7.293051947943465,0.0,,,
sample::10,SAMPLE,S10,#FF4757,332.0,224.0,60888.0,4.0,normal,7.023951838837149,0.0,,,
sample::11,SAMPLE,S11,#FF4757,332.0,224.0,17868.0,4.0,normal,7.16435496197754,0.0,,,
sample::12,SAMPLE,S12,#FF4757,332.0,224.0,36730.0,5.0,normal,5.738689028042678,0.0,,,
sample::13,SAMPLE,S13,#FF4757,332.0,224.0,55592.0,7.0,normal,5.7195310102443795,0.0,,,
sample::14,SAMPLE,S14,#FF4757,332.0,224.0,16957.0,6.0,normal,5.321547295798672,0.0,,,
sample::15,SAMPLE,S15,#FF4757,332.0,224.0,20240.0,7.0,normal,7.089360612567953,0.0,,,
sample::16,SAMPLE,S16,#FF4757,332.0,224.0,57677.0,4.0,normal,6.503668216714054,0.0,,,
sample::17,SAMPLE,S17,#FF4757,332.0,224.0,46567.0,5.0,normal,5.082389318672381,0.0,,,
sample::18,SAMPLE,S18,#FF4757,332.0,224.0,63294.0,4.0,normal,5.062523147183355,0.0,,,
sample::19,SAMPLE,S19,#FF4757,332.0,224.0,36372.0,6.0,normal,5.031680221423977,0.0,,,
sample::20,SAMPLE,S20,#FF4757,332.0,224.0,59808.0,3.0,normal,7.245971880335297,0.0,,,
sample::21,SAMPLE,S21,#FF4757,332.0,224.0,44153.0,4.0,normal,6.632639589797835,0.0,,,
sample::22,SAMPLE,S22,#FF4757,332.0,224.0,12925.0,6.0,normal,5.9665381083877795,0.0,,,
sample::23,SAMPLE,S23,#FF4757,332.0,224.0,5533.0,4.0,normal,5.476636848302113,0.0,,,
sample::24,SAMPLE,S24,#FF4757,332.0,224.0,53609.0,6.0,normal,6.867463871115438,0.0,,,
sample::25,SAMPLE,S25,#FF4757,332.0,224.0,28494.0,6.0,normal,7.055627736702771,0.0,,,
sample::26,SAMPLE,S26,#FF4757,332.0,224.0,64203.0,6.0,normal,6.011030937601737,0.0,,,
sample::27,SAMPLE,S27,#FF4757,332.0,224.0,6150.0,4.0,normal,4.721223040193418,0.0,,,
sample::28,SAMPLE,S28,#FF4757,332.0,224.0,61194.0,4.0,normal,6.971344075178315,0.0,,,
sample::29,SAMPLE,S29,#FF4757,332.0,224.0,53295.0,5.0,normal,5.551664434103664,0.0,,,
