Class 1,Class 2,Number of Files,MMD Score
benign,gandcrab,1,1.2495262285847955
benign,downloadguide,1,1.249470432179797
benign,firseria,1,1.248304933330311
benign,emotet,1,1.224661825315065
benign,driverpack,1,1.246721339152923
benign,domaiq,1,1.2476669693511244
benign,hotbar,1,1.2484425259463596
benign,multiplug,1,1.2391432102473983
benign,dlhelper,1,1.2493625156007258
benign,downloadadmin,1,1.2488689309157595
benign,gamarue,1,1.210065706111661
benign,darkkomet,1,1.08759342558241
benign,delf,1,1.18521778707538
benign,gamehack,1,1.2070736175130155
benign,fareit,1,1.2472824801401243
gandcrab,benign,1,1.2495262285847955
gandcrab,downloadguide,1,1.263770061340777
gandcrab,firseria,1,1.2625788030949059
gandcrab,emotet,1,1.2397134833346217
gandcrab,driverpack,1,1.261075034743202
gandcrab,domaiq,1,1.262001635108613
gandcrab,hotbar,1,1.2627616685301177
gandcrab,multiplug,1,1.2535198116053068
gandcrab,dlhelper,1,1.2636643848571176
gandcrab,downloadadmin,1,1.2631804394941049
gandcrab,gamarue,1,1.2269395439742807
gandcrab,darkkomet,1,1.104978289740845
gandcrab,delf,1,1.2007415927053597
gandcrab,gamehack,1,1.2222092441158705
gandcrab,fareit,1,1.261624350357256
downloadguide,benign,1,1.249470432179797
downloadguide,gandcrab,1,1.263770061340777
downloadguide,firseria,1,1.2625723021462605
downloadguide,emotet,1,1.2396556193563764
downloadguide,driverpack,1,1.2610059658575703
downloadguide,domaiq,1,1.2619473000396777
downloadguide,hotbar,1,1.2627061663569727
downloadguide,multiplug,1,1.2535938673198688
downloadguide,dlhelper,1,1.263610187004764
downloadguide,downloadadmin,1,1.263125836323537
downloadguide,gamarue,1,1.22687788588608
downloadguide,darkkomet,1,1.1049113469941114
downloadguide,delf,1,1.2006801552595328
downloadguide,gamehack,1,1.2221520092358964
downloadguide,fareit,1,1.261569327129811
firseria,benign,1,1.248304933330311
firseria,gandcrab,1,1.2625788030949059
firseria,downloadguide,1,1.2625723021462605
firseria,emotet,1,1.2384662956373518
firseria,driverpack,1,1.2598707013172934
firseria,domaiq,1,1.260800607024772
firseria,hotbar,1,1.261556604462265
firseria,multiplug,1,1.2522103017615391
firseria,dlhelper,1,1.262466131352586
firseria,downloadadmin,1,1.2619574589763196
firseria,gamarue,1,1.225677151770434
firseria,darkkomet,1,1.1035194845599636
firseria,delf,1,1.1994351190529635
firseria,gamehack,1,1.2209345268781593
firseria,fareit,1,1.2604226414491406
emotet,benign,1,1.224661825315065
emotet,gandcrab,1,1.2397134833346217
emotet,downloadguide,1,1.2396556193563764
emotet,firseria,1,1.2384662956373518
emotet,driverpack,1,1.2368651174773198
emotet,domaiq,1,1.2378269694191026
emotet,hotbar,1,1.238612411007554
emotet,multiplug,1,1.2291224417220126
emotet,dlhelper,1,1.2395399578245763
emotet,downloadadmin,1,1.2389932220410342
emotet,gamarue,1,1.201534062655114
emotet,darkkomet,1,1.0753579212201605
emotet,delf,1,1.1745602131913098
emotet,gamehack,1,1.1967103312219207
emotet,fareit,1,1.237429144253193
driverpack,benign,1,1.246721339152923
driverpack,gandcrab,1,1.261075034743202
driverpack,downloadguide,1,1.2610059658575703
driverpack,firseria,1,1.2598707013172934
driverpack,emotet,1,1.2368651174773198
driverpack,domaiq,1,1.2592439315120239
driverpack,hotbar,1,1.2600054942807124
driverpack,multiplug,1,1.2508641053815954
driverpack,dlhelper,1,1.2609133798629149
driverpack,downloadadmin,1,1.2598617905007652
driverpack,gamarue,1,1.224036430702566
driverpack,darkkomet,1,1.1016305430649784
driverpack,delf,1,1.1973493837487617
driverpack,gamehack,1,1.2192700897364324
driverpack,fareit,1,1.2588623451548882
domaiq,benign,1,1.2476669693511244
domaiq,gandcrab,1,1.262001635108613
domaiq,downloadguide,1,1.2619473000396777
domaiq,firseria,1,1.260800607024772
domaiq,emotet,1,1.2378269694191026
domaiq,driverpack,1,1.2592439315120239
domaiq,hotbar,1,1.2609357200842863
domaiq,multiplug,1,1.2517862969700286
domaiq,dlhelper,1,1.2618405494306022
domaiq,downloadadmin,1,1.2613547593666885
domaiq,gamarue,1,1.2250134960574934
domaiq,darkkomet,1,1.1027570816424555
domaiq,delf,1,1.1987240051987502
domaiq,gamehack,1,1.2202824596541257
